docID	semanticType	characterSpan
essay001	policy	503:575
essay001	value	2154:2231
essay001	value	591:714
essay001	common_ground	716:851
essay001	hypothetical_instance	853:1086
essay001	hypothetical_instance	1088:1191
essay001	value	1332:1376
essay001	common_ground	1212:1301
essay001	common_ground	1387:1492
essay001	hypothetical_instance	1549:1846
essay001	value	1927:1992
essay002	value	391:489
essay002	value	1936:2077
essay002	common_ground	500:624
essay002	value	1089:1156
essay002	real_example	626:839
essay002	real_example	841:946
essay002	common_ground	948:1057
essay002	common_ground	1168:1204
essay002	common_ground	1209:1307
essay002	value	1711:1795
essay002	hypothetical_instance	1323:1412
essay002	hypothetical_instance	1414:1571
essay002	statistics	1573:1685
essay002	value	1819:1908
essay003	value	352:475
essay003	value	1568:1701
essay003	value	955:1012
essay003	common_ground	487:613
essay003	real_example	615:784
essay003	hypothetical_instance	786:943
essay003	common_ground	1024:1135
essay003	value	1454:1526
essay003	real_example	1151:1329
essay003	hypothetical_instance	1331:1446
essay004	value	262:376
essay004	value	1663:1758
essay004	value	179:239
essay004	value	953:1031
essay004	value	1578:1624
essay004	statistics	417:530
essay004	real_example	532:818
essay004	real_example	820:924
essay004	statistics	1074:1158
essay004	statistics	1160:1413
essay004	real_example	1432:1550
essay005	value	286:359
essay005	value	1535:1652
essay005	value	388:564
essay005	value	775:883
essay005	value	1330:1425
essay005	hypothetical_instance	566:765
essay005	hypothetical_instance	885:988
essay005	hypothetical_instance	993:1078
essay005	hypothetical_instance	1090:1148
essay005	common_ground	1156:1238
essay005	hypothetical_instance	1240:1317
essay005	fact	1442:1524
essay006	value	174:209
essay006	value	1667:1759
essay006	value	211:293
essay006	value	309:407
essay006	value	779:892
essay006	value	1092:1147
essay006	common_ground	409:507
essay006	hypothetical_instance	522:577
essay006	common_ground	590:660
essay006	common_ground	662:746
essay006	hypothetical_instance	907:962
essay006	hypothetical_instance	964:1090
essay006	hypothetical_instance	1149:1242
essay006	hypothetical_instance	1257:1302
essay006	hypothetical_instance	1304:1393
essay006	common_ground	1395:1442
essay006	common_ground	1444:1520
essay006	common_ground	1522:1595
essay006	common_ground	1602:1649
essay007	fact	374:459
essay007	value	1090:1175
essay007	common_ground	554:650
essay007	real_example	652:888
essay007	common_ground	890:1081
essay007	fact	1706:1838
essay007	common_ground	1200:1324
essay007	real_example	1356:1439
essay007	hypothetical_instance	1624:1687
essay007	fact	2107:2188
essay007	statistics	1861:1993
essay007	common_ground	1995:2090
essay008	policy	468:539
essay008	policy	1909:1993
essay008	value	1995:2043
essay008	policy	960:1167
essay008	statistics	776:942
essay008	common_ground	557:687
essay008	common_ground	689:771
essay008	value	1687:1840
essay008	common_ground	1605:1672
essay008	common_ground	1188:1331
essay008	statistics	1333:1487
essay008	common_ground	1489:1573
essay008	other	1579:1603
essay009	value	1633:1720
essay009	value	315:374
essay009	value	393:465
essay009	common_ground	468:517
essay009	hypothetical_instance	532:596
essay009	common_ground	598:684
essay009	hypothetical_instance	686:830
essay009	value	843:918
essay009	hypothetical_instance	920:1004
essay009	common_ground	1016:1063
essay009	common_ground	1456:1549
essay009	value	1380:1411
essay009	common_ground	1065:1147
essay009	common_ground	1149:1237
essay009	hypothetical_instance	1239:1367
essay009	hypothetical_instance	1415:1454
essay010	policy	328:397
essay010	value	484:578
essay010	common_ground	399:473
essay010	value	1244:1353
essay010	statistics	1086:1231
essay010	common_ground	637:713
essay010	statistics	732:820
essay010	statistics	822:945
essay010	value	947:1075
essay010	common_ground	1554:1607
essay010	common_ground	1432:1513
essay010	policy	1641:1732
essay010	hypothetical_instance	1734:1853
essay010	hypothetical_instance	1369:1430
essay010	value	1891:1952
essay010	value	1968:2033
essay010	value	2035:2097
essay011	policy	147:199
essay011	value	201:350
essay011	fact	2111:2240
essay011	fact	795:938
essay011	common_ground	446:484
essay011	statistics	486:581
essay011	statistics	583:623
essay011	common_ground	639:789
essay011	value	949:1027
essay011	hypothetical_instance	1042:1147
essay011	hypothetical_instance	1156:1322
essay011	common_ground	1337:1446
essay011	fact	1470:1554
essay011	hypothetical_instance	1570:1657
essay011	hypothetical_instance	1665:1700
essay011	hypothetical_instance	1719:1808
essay011	statistics	1831:1884
essay011	fact	1897:2007
essay011	hypothetical_instance	2018:2065
essay012	value	390:467
essay012	real_example	469:696
essay012	real_example	702:897
essay012	common_ground	899:959
essay012	real_example	961:1035
essay012	value	1151:1247
essay012	value	1845:1899
essay012	fact	1901:1980
essay012	real_example	1037:1138
essay012	real_example	1716:1831
essay012	real_example	1580:1714
essay012	real_example	1459:1578
essay012	hypothetical_instance	1352:1444
essay012	value	1249:1350
essay013	value	564:608
essay013	value	497:550
essay013	value	1828:1876
essay013	common_ground	1878:1929
essay013	hypothetical_instance	1931:2038
essay013	common_ground	617:666
essay013	common_ground	1290:1327
essay013	hypothetical_instance	722:864
essay013	common_ground	668:717
essay013	real_example	879:994
essay013	real_example	996:1073
essay013	real_example	1075:1159
essay013	value	1172:1280
essay013	common_ground	1329:1400
essay013	common_ground	1558:1640
essay013	common_ground	1411:1545
essay013	common_ground	1642:1677
essay013	value	1679:1814
essay013	fact	2161:2239
essay013	statistics	2053:2159
essay014	value	419:504
essay014	common_ground	522:609
essay014	common_ground	611:731
essay014	common_ground	733:790
essay014	common_ground	811:929
essay014	value	1519:1585
essay014	fact	1607:1679
essay014	hypothetical_instance	1137:1252
essay014	common_ground	1268:1296
essay014	common_ground	1308:1368
essay014	real_example	1384:1431
essay014	common_ground	1433:1492
essay014	value	951:1030
essay014	common_ground	1052:1135
essay015	fact	199:262
essay015	value	397:535
essay015	value	1969:2091
essay015	real_example	537:665
essay015	real_example	667:808
essay015	real_example	876:952
essay015	real_example	966:1128
essay015	common_ground	1130:1236
essay015	real_example	819:874
essay015	value	1238:1345
essay015	real_example	1347:1476
essay015	common_ground	1498:1545
essay015	real_example	1567:1724
essay015	real_example	1736:1844
essay015	hypothetical_instance	1846:1952
essay016	value	1530:1577
essay016	value	1579:1639
essay016	value	320:447
essay016	value	800:876
essay016	common_ground	540:581
essay016	hypothetical_instance	591:703
essay016	statistics	705:782
essay016	common_ground	885:947
essay016	common_ground	949:1010
essay016	policy	1027:1219
essay016	common_ground	1221:1300
essay016	common_ground	1307:1408
essay016	common_ground	1423:1491
essay017	value	359:393
essay017	fact	238:329
essay017	policy	1692:1790
essay017	value	1550:1682
essay017	value	395:475
essay017	common_ground	477:541
essay017	hypothetical_instance	543:663
essay017	common_ground	665:714
essay017	hypothetical_instance	728:779
essay017	value	797:839
essay017	hypothetical_instance	841:982
essay017	hypothetical_instance	991:1085
essay017	hypothetical_instance	1087:1219
essay017	value	1241:1299
essay017	common_ground	1301:1393
essay017	common_ground	1395:1461
essay017	common_ground	1463:1537
essay018	policy	1498:1562
essay018	policy	1774:1825
essay018	common_ground	1564:1618
essay018	common_ground	1620:1673
essay018	common_ground	1675:1769
essay018	policy	407:475
essay018	common_ground	514:589
essay018	common_ground	604:660
essay018	common_ground	662:729
essay018	common_ground	744:822
essay018	common_ground	824:907
essay018	fact	1357:1459
essay018	common_ground	919:978
essay018	common_ground	980:1051
essay018	common_ground	1053:1095
essay018	common_ground	1110:1211
essay018	common_ground	1213:1252
essay018	common_ground	1254:1344
essay019	value	1624:1689
essay019	value	246:318
essay019	hypothetical_instance	320:356
essay019	hypothetical_instance	366:525
essay019	value	1731:1831
essay019	value	528:596
essay019	hypothetical_instance	598:710
essay019	hypothetical_instance	712:791
